UniprotID,Length,Molecular_Weight (kDa),num_theoretical_peptides,num_unique
Q9Y6V0-6,4935,537.88166,240,239
Q8NEZ4,4911,541.36564,191,191
Q15413,4870,552.037115,241,241
Q9Y6V0-2,4866,530.853645,233,233
Q15413-2,4865,551.4794,241,241
Q15751,4861,532.22315,205,205
Q9NR09,4857,530.24958,190,190
O95714,4834,527.222975,223,222
Q96M86,4753,533.63902,203,203
Q9P2P6,4700,516.338865,225,225
Q15149,4684,531.785925,289,287
P98164,4655,521.95277,205,205
Q14204,4646,532.403425,256,256
O75592,4640,510.079485,219,219
O75592-2,4637,509.70307,219,219
Q8TE73,4624,529.016125,246,246
Q9NZR2,4599,515.49301,212,212
Q8TDW7,4589,505.51871,186,186
Q14517,4588,506.268495,190,190
Q9NZJ4,4579,521.12107,257,257
Q15149-2,4574,518.467785,281,279
Q15149-3,4570,518.027285,280,278
P04114,4563,515.60006,251,251
Q8TDW7-3,4557,501.97377,185,185
Q15149-6,4551,516.47398,281,279
P08519,4548,501.316005,172,50
Q15149-4,4547,516.19361,281,279
Q15149-5,4547,516.27175,280,278
Q07954,4544,504.601695,225,225
Q15149-9,4533,514.76993,279,277
Q15149-8,4525,513.70177,279,277
Q96DT5,4523,521.03842,240,240
Q0VDD8-4,4515,518.56059,225,225
Q15149-7,4515,512.59967,278,276
Q685J3,4493,451.73553,33,33
Q96JB1,4490,514.659135,249,249
Q9NYC9,4486,511.872475,241,241
Q9UFH2,4485,511.7822,258,258
Q8IVF4,4471,514.83624,247,247
Q96JB1-2,4454,510.443045,247,247
Q9UFH2-2,4448,507.833725,255,255
Q9P225,4427,507.69372,231,231
Q8NDA2-3,4427,474.14103,184,184
Q9NYC9-2,4410,503.340915,236,236
P98160,4391,468.82645,177,172
Q5THJ4,4387,491.84043,226,226
Q12955,4377,480.40605,229,229
Q7Z6Z7,4374,481.885695,179,179
Q7Z6Z7-3,4365,481.01275,178,178
Q5THJ4-2,4363,489.05626,225,225
Q685J3-2,4361,436.77131,30,30
Q7Z6Z7-2,4358,480.192795,180,180
Q9NYQ8,4349,479.31342,185,185
Q9P2D7,4330,493.948395,225,225
Q8NCM8-2,4314,493.415465,236,236
Q8NCM8,4307,492.61748,236,236
P98161,4303,462.52478,144,144
P98161-3,4302,462.396645,144,144
P98161-2,4292,461.360625,144,144
P22105,4289,464.32252,193,166
Q9P2D7-4,4265,487.47405,222,222
Q9P2D7-2,4261,485.91717,222,222
Q2LD37-7,4251,470.9249,189,189
Q86WI1,4243,465.73102,160,160
P22105-3,4242,458.217445,186,159
Q8NDA2-2,4198,448.326915,172,172
Q9P225-2,4196,481.994575,217,217
Q8TCU4,4167,460.96122,221,221
Q9C0G6,4158,475.978195,229,229
P78527,4128,469.084155,221,221
Q8TCU4-2,4120,455.069425,219,219
Q8TD57,4116,470.766945,229,229
P78527-2,4097,465.49602,218,218
P08F94,4074,446.698225,147,147
Q8N3K9,4069,449.20687,201,199
P20930,4061,435.16804,211,137
Q8NEZ4-2,4025,443.53511,149,149
Q8WXX0,4024,461.154435,221,221
Q7Z7G8,4022,448.660575,196,196
Q7Z7G8-6,4021,448.53244,196,196
Q86XX4-2,4012,443.632495,157,157
Q86XX4,4008,443.210015,156,156
Q7Z7G8-2,3997,445.98453,194,194
Q9Y4D8,3996,439.339505,177,177
Q9Y4D8-4,3984,438.024955,176,176
Q03164-3,3972,432.047735,154,154
Q03164,3969,431.76046,155,155
Q01484,3957,433.71101,205,205
Q03164-2,3931,427.72889,154,154
Q99996-6,3929,455.41997,237,237
Q9UPA5,3926,416.465795,176,176
Q96JG9,3925,410.19772,152,152
Q5VST9-5,3911,427.0426,190,181
Q99996,3911,453.66422,236,236
Q99996-2,3907,452.98415,237,237
Q99996-3,3899,452.10719,237,237
Q15413-3,3859,435.92973,198,198
Q9Y4A5,3859,437.59656,221,221
Q8TCU4-3,3858,425.133705,206,206
Q99996-5,3857,447.74981,235,235
Q9Y4A5-2,3830,434.410035,219,219
Q9NZJ4-2,3829,436.97177,218,218
Q99698,3801,429.13495,177,177
Q709C8,3753,422.38634,194,194
Q709C8-3,3710,417.272355,193,193
Q86VF2-5,3708,383.802915,194,174
Q7Z407,3707,405.99659,125,125
Q15911,3703,404.41573,143,143
O15230,3695,399.73348,164,164
P11532,3685,426.74658,195,195
Q2LD37-6,3680,409.381225,164,164
P11532-4,3677,425.63732,194,194
Q9NRC6,3674,416.831815,203,203
Q7Z407-2,3667,401.58615,124,124
Q96T58,3664,402.244685,170,170
Q96Q15,3661,410.49689,174,174
Q7Z407-4,3637,398.4492,123,123
Q709C8-2,3628,408.194815,186,186
O60494,3623,398.73293,114,114
Q86UP3-2,3599,397.30956,157,157
Q709C8-4,3585,403.08083,185,185
Q4LDE5,3571,390.16664,155,155
Q86UP3-4,3571,394.09308,154,154
Q86UP3,3567,393.72666,154,154
Q96PZ7,3565,388.86631,121,121
Q70CQ2,3546,404.229245,184,184
Q7Z407-3,3538,387.326015,116,116
Q9UKN7,3530,395.288915,169,169
Q8IZQ1,3526,395.254855,154,154
Q96Q15-2,3521,395.37878,166,166
Q8IZQ1-2,3509,393.36381,153,153
Q0VDD8,3507,399.89089,168,168
Q7Z408,3487,380.03626,113,113
Q8IZT6,3477,409.79677,171,170
Q5CZC0-2,3466,391.699555,166,166
P78509,3460,388.384595,127,127
P78509-2,3458,388.198385,127,127
P46939-2,3438,394.965995,175,175
P46939,3433,394.46309,174,174
Q5T011,3432,378.025295,135,135
P78509-3,3427,384.08967,126,126
P51587,3418,384.221945,184,184
P13611,3396,372.816875,127,127
P08F94-2,3396,371.651475,120,120
Q70CQ2-2,3395,387.15022,176,176
Q96PZ7-2,3388,370.314455,115,115
Q5T011-5,3375,371.85131,134,134
A4UGR9,3374,382.297255,197,197
P13611-5,3370,369.684585,126,126
Q9H251-8,3357,369.64853,114,114
Q9H251,3354,369.490365,113,113
Q9H251-3,3353,369.36219,113,113
Q9H251-2,3352,369.263105,114,114
A4UGR9-3,3345,379.23098,195,195
O95613,3336,378.034045,188,188
Q16787,3333,366.64612,164,164
A4UGR9-2,3327,377.34494,193,193
Q8NF91-2,3321,380.35709,174,174
Q9H251-4,3319,365.54274,113,113
Q9NYQ7-2,3317,358.63636,140,140
Q70CQ2-3,3312,377.595165,172,172
Q9NYQ7,3312,358.181835,140,140
Q96JQ0,3298,346.177235,115,115
Q16787-3,3277,360.20904,161,161
Q8WXH0-7,3270,377.189825,174,174
Q14789-2,3269,377.13488,188,188
Q15772,3267,354.28516,147,147
Q14789,3259,376.01657,187,187
Q8N2C7,3258,363.386995,141,141
P46013,3256,358.690975,180,164
Q6ZRS2,3230,343.550865,92,92
P49792,3224,358.196395,185,176
Q15772-1,3223,348.899,145,145
Q6V0I7-2,3222,351.187295,118,118
Q8NF91-8,3212,367.869915,167,167
P49454,3210,367.761725,197,195
Q9H799,3197,361.7426,148,148
Q6ZS81,3184,353.606525,139,139
P12111,3177,343.66671,171,170
Q6ZS81-4,3176,352.663325,139,139
Q96RL7,3174,360.273125,147,147
Q5SZK8,3169,351.15397,136,136
Q6ZRS2-2,3168,337.440945,92,92
Q5T1H1,3165,350.7932,136,136
Q9P2D7-5,3164,360.955955,169,169
Q96L91,3159,343.48689,116,116
Q5T1H1-1,3144,348.395215,135,135
P42858,3142,347.599665,142,142
O95613-2,3139,355.87869,179,179
Q96RL7-3,3135,355.85802,145,145
O60673,3130,352.772565,145,145
Q96L91-2,3123,339.8207,115,115
P24043,3122,343.902355,162,162
Q96L91-5,3122,339.692565,115,115
Q5VT06,3117,350.92695,165,165
O75962,3097,346.89724,146,146
Q96RL7-2,3095,350.89958,143,143
Q6ZR08,3092,356.938645,169,169
Q8WUY3-3,3092,341.087315,110,110
Q8WUY3-2,3089,340.76092,109,109
Q8WUY3,3088,340.631805,109,109
Q96L91-3,3086,335.803145,115,115
Q8IZF6,3080,333.364645,106,106
P25391,3075,337.08089,144,144
Q6ZRS2-3,3072,327.833925,88,88
Q96RL7-4,3069,347.67053,142,142
Q8IWI9-4,3065,336.15673,151,151
Q99715,3063,333.14446,148,148
Q03001-9,3060,345.028595,166,166
Q13315,3056,350.684105,161,161
Q8WUY3-4,3055,336.91069,108,108
O60673-2,3052,344.150655,144,144
Q8NFC6,3051,330.46395,131,131
Q12830,3046,338.260305,138,138
Q96L91-4,3042,331.775905,111,111
O75962-4,3038,341.595695,145,145
Q8TDJ6-3,3037,339.72553,130,130
Q8TDJ6,3036,339.638455,130,130
Q96Q15-3,3031,340.67092,147,147
Q9Y485,3027,337.83537,134,134
Q8IWI9,3026,331.833675,148,148
Q8N2C7-4,3020,337.847085,138,138
Q9NYQ6,3014,329.483205,125,125
Q5TBA9,3013,338.87107,142,142
O94915,3013,339.59443,136,136
Q9P2D1,2997,335.92485,128,128
Q99715-4,2987,324.56766,143,143
O60229,2985,340.17119,149,149
P12111-2,2971,321.35191,161,160
Q9NR48,2969,332.78719,133,133
O15417,2968,314.515675,120,120
Q9NR48-2,2964,332.207495,133,133
O43149,2961,331.07209,134,134
O95359,2948,309.424435,132,132
Q8NFP9,2946,327.818755,147,147
Q02388,2944,295.218285,150,150
Q9H799-5,2933,331.43041,134,134
O15050,2925,336.21782,152,152
Q6ZRI0,2925,314.79062,102,102
Q9HCU4,2923,317.44948,120,120
O75962-2,2921,329.38621,139,139
Q12830-2,2920,325.121765,133,133
Q6ZS81-5,2920,325.229185,132,132
Q6V1P9,2916,322.231035,112,112
Q6ZQQ6-2,2912,337.774905,146,146
Q02388-2,2912,292.265955,151,151
P35556,2912,314.772155,131,131
Q12830-4,2903,322.21515,136,136
Q9Y520-7,2898,317.079125,105,105
Q3L8U1,2897,326.01918,116,116
P46013-2,2896,319.441685,163,147
Q9Y520,2896,316.908915,105,105
Q3L8U1-3,2882,324.123895,116,116
Q3L8U1-2,2881,324.05282,116,116
Q8IZF6-3,2875,309.4254,94,94
Q6ZQQ6,2873,333.18275,145,145
Q2LD37-2,2873,320.00845,124,124
O95359-3,2871,301.05498,129,129
P35555,2871,312.23462,143,143
P15924,2871,331.77116,162,162
Q9Y493-7,2866,311.091635,144,114
P50851,2863,319.105,139,139
Q8IWI9-3,2856,315.216075,148,148
P50851-2,2851,317.69934,138,138
Q86YZ3,2850,282.390185,85,55
Q8TDX9,2849,315.43191,122,122
Q9Y520-5,2849,312.63315,105,105
Q7Z7M0,2845,303.09762,99,99
P25054,2843,311.64297,154,154
P21359,2839,319.36928,140,140
O15018,2839,301.63806,142,142
P21359-6,2836,318.988805,140,140
Q9NR99,2828,312.147765,139,139
P21359-2,2818,317.029555,140,140
Q12802-2,2817,307.84281,119,119
Q9Y520-4,2817,308.60425,103,103
Q12802,2813,307.54769,119,119
P04275,2813,309.26183,133,133
Q9Y493,2812,305.660455,141,111
Q75N90,2809,300.35286,120,119
P78559-2,2805,305.66847,103,102
Q8IZF6-2,2804,301.612195,93,93
Q6KC79,2804,316.048445,131,130
P78559,2803,305.48226,103,102
O95071,2799,309.34919,125,125
Q12802-4,2793,305.278,119,119
Q9BXT5,2789,315.33347,125,125
Q15911-2,2789,306.6614,106,106
O75691,2785,318.38231,139,139
Q7Z7M0-2,2778,295.931455,96,96
Q9H5I5-4,2777,320.88722,135,135
Q9NT68,2774,307.784905,116,116
Q6N022,2769,307.95411,121,121
P01266,2768,304.787525,112,112
Q86UQ4-3,2760,312.245545,129,129
Q14643,2758,313.926375,139,139
Q6ZNJ1,2754,302.513495,110,110
Q9Y520-6,2752,301.569455,100,100
Q9H5I5,2752,318.060895,134,134
Q9UQ35,2752,299.610955,118,118
Q14643-6,2743,312.12935,140,140
Q14643-2,2743,312.16053,140,140
P25054-2,2742,300.436265,148,148
Q14643-5,2734,311.132405,139,139
Q9UKZ4-2,2732,305.944925,119,119
Q14643-7,2728,310.363505,141,141
Q14315,2725,291.02052,147,147
Q9UKZ4,2725,305.00893,118,118
Q6ZNJ1-3,2724,299.338825,110,110
Q9Y493-2,2724,295.258225,137,107
O60281,2723,304.81346,127,127
Q9Y493-6,2721,295.506,139,109
Q14643-8,2719,309.33538,140,140
P15822,2718,296.862275,119,119
Q8IYW2,2715,303.4974,135,135
Q9UMN6,2715,293.51214,121,121
Q8TD26,2715,305.4095,127,127
P01266-2,2711,298.38055,109,109
Q14643-3,2710,308.536585,138,138
Q7Z333-4,2706,306.338255,143,143
Q14571,2701,308.06111,139,139
Q02224,2701,316.4131,164,164
Q9Y520-3,2700,295.730895,94,94
Q9P273,2699,300.948,123,123
Q6KC79-2,2697,304.34122,125,124
Q96L73,2696,296.649335,139,139
Q14643-4,2695,306.77074,139,139
Q6ZS30,2694,307.234635,127,127
Q14315-2,2692,287.279395,147,147
Q9Y493-3,2689,291.35305,135,105
Q9H5I5-2,2689,311.07133,134,134
Q7Z333,2677,302.87723,140,140
Q7Z407-5,2675,294.80811,83,83
Q92616,2671,292.75502,163,163
Q14573,2671,304.10396,136,136
Q5SZK8-2,2667,295.8428,117,117
Q02224-2,2665,312.14711,161,161
Q6UB99,2663,297.91047,99,99
Q9P2D8-3,2657,297.58076,117,117
Q9Y520-2,2653,291.0905,91,91
Q9BYK8,2649,294.64838,136,136
Q03001-3,2649,306.75288,155,155
P21333,2647,280.73758,133,133
Q7Z333-3,2644,299.417355,138,138
Q13535,2644,301.363675,138,138
Q9H4A3-6,2642,279.711295,66,66
O15018-2,2640,280.089425,134,134
P21333-2,2639,280.01675,134,134
Q9NT68-2,2637,292.25676,108,108
Q9P2D8,2635,295.32326,117,117
Q9H4A3-5,2634,279.535385,67,67
O75369-8,2633,281.63311,143,143
Q99973,2627,290.48704,132,132
O15021,2626,284.374745,131,131
A6H8Y1,2624,293.882905,124,123
Q9Y493-4,2624,284.845715,136,106
Q6WRI0,2623,290.83542,117,117
Q9UPU5,2620,294.362355,136,136
Q99973-2,2620,289.575095,132,132
B2RTY4-4,2619,300.43036,139,139
Q8IWZ3-6,2617,277.17276,84,84
A8TX70,2615,289.92357,135,135
Q13535-3,2610,297.476225,138,138
Q9ULT8,2610,289.381485,123,123
Q9P281,2608,276.928945,98,98
A6H8Y1-6,2604,291.765715,122,121
Q6ZS30-1,2604,297.068985,124,124
O75179,2603,274.25554,80,80
Q8N2C7-2,2603,291.64148,116,116
O75179-2,2602,274.184465,80,80
Q9C0D2-3,2602,295.245045,111,111
O75369,2602,278.162395,141,141
Q9Y493-5,2601,282.42904,135,105
Q9C0D2,2601,295.17397,111,111
Q86UK0,2595,293.23373,109,109
Q96L73-3,2593,284.26095,133,133
O75369-9,2591,276.93697,141,141
O75417,2590,289.616715,134,134
Q9HCK8,2581,290.51669,109,109
Q02224-3,2580,301.787155,157,157
Q13535-2,2580,294.216285,135,135
Q9HCE0,2579,292.47808,117,117
O60281-2,2578,288.283745,119,119
O75369-2,2578,275.666665,141,141
Q8TDX9-2,2573,284.30576,110,110
Q9C0A1,2572,274.173415,102,102
Q93008,2570,292.277165,120,120
Q6ZNJ1-2,2570,282.858055,107,107
P12111-4,2570,278.201285,142,141
Q9NY15,2570,275.479855,113,113
Q8IUG5,2567,285.18242,153,153
Q96JM2-3,2566,291.114855,116,116
Q9BYW2,2564,287.594195,114,114
Q9H254,2564,288.982805,144,144
O75962-5,2563,287.37494,129,129
O75369-3,2561,273.90753,139,139
P46531,2555,272.5023,76,76
O00507,2555,291.07423,115,115
Q93008-1,2554,290.460075,118,118
A6H8Y1-7,2552,286.182615,124,123
Q8WWQ8,2551,276.98563,100,100
P42345,2549,288.88905,132,132
B2RTY4,2548,292.703045,138,138
Q8IWZ3-4,2544,269.295945,78,78
Q9Y4G6,2542,271.610445,135,135
Q9UGM3-6,2542,274.463025,79,40
Q8IWZ3,2542,269.455275,79,79
Q02505,2541,265.87725,37,36
Q9Y490,2541,269.76446,132,132
Q15652,2540,284.522805,125,125
Q68DK2,2539,284.57295,127,127
O75369-6,2537,271.4118,139,139
Q9UGM3-7,2532,273.440955,79,40
Q9C0G6-4,2530,289.569585,141,141
B2RTY4-2,2529,290.37651,137,137
Q5S007,2527,286.09997,128,128
A8TX70-2,2526,279.929465,132,132
Q9Y618,2525,274.80165,122,122
Q92508,2521,286.78675,96,96
Q68DK2-2,2518,282.495605,126,126
Q8IWT3,2517,281.2265,123,123
Q9Y618-3,2517,273.88557,122,122
P49327,2511,273.42406,122,122
Q9Y618-4,2508,273.138865,121,121
Q96JM2,2506,284.685785,112,112
O00555-8,2506,282.561605,100,100
O00555-4,2505,282.2072,100,100
O00555,2505,282.36239,100,100
O00555-6,2493,280.9418,99,99
P46100,2492,282.583585,117,117
P11717,2491,274.37242,125,125
Q12923-4,2490,277.505945,127,127
Q8IVL1,2488,268.164815,113,113
Q12923,2485,276.90322,126,126
Q02505-5,2483,259.58997,33,32
Q96AY4,2481,270.88198,127,127
Q9HCE0-2,2481,281.28826,111,111
Q8IWN7,2480,261.205025,90,86
O15078,2479,290.3837,144,144
Q13813-2,2477,285.09176,143,143
P02751-15,2477,272.31879,99,99
Q5UIP0,2472,274.463075,108,108
Q13813,2472,284.537045,143,143
Q04721,2471,265.40236,75,75
P46821,2468,270.631965,101,101
P18583-9,2466,268.090085,76,69
Q12923-3,2466,274.930055,126,126
Q5JWR5,2465,277.35192,94,94
Q9Y618-5,2462,268.358725,121,121
P18583-5,2459,267.032,78,71
Q7Z442,2459,272.57252,76,76
O00763,2458,276.538575,122,122
Q9P2D8-2,2458,275.430725,113,113
Q5T4S7-5,2456,270.737025,105,105
P46100-4,2454,278.226635,116,116
Q8NDH2,2452,277.948995,141,141
Q13813-3,2452,282.279425,141,141
Q5UIP0-2,2446,271.686895,105,105
P31629,2446,269.050915,105,105
P02751-7,2446,268.910115,98,98
O15021-1,2444,266.116675,122,122
Q96JI7,2443,278.86541,124,124
Q9BV73,2442,281.135245,140,140
Q92793,2442,265.349765,74,74
O75376,2440,270.207705,118,118
Q6W4X9,2439,257.04881,66,66
Q9BZC7-3,2436,269.985445,102,102
Q9BZC7,2435,269.87031,102,102
O15021-3,2434,265.350885,122,122
Q8IVL1-2,2432,261.747685,110,110
Q5VWN6,2430,268.840205,112,112
O15021-2,2429,264.75907,121,121
Q8IVL1-3,2429,261.40533,109,109
Q96L73-2,2427,267.33762,131,131
P18583,2426,263.827345,76,69
Q8IVL1-11,2425,261.86334,110,110
Q8IVL1-12,2424,261.575965,109,109
Q7Z2Y8,2422,279.046015,118,118
O75369-7,2422,257.549655,130,130
P02549,2419,280.01209,131,131
Q8IVL1-13,2419,261.09962,109,109
Q8IVL1-10,2417,261.10665,110,110
P02549-2,2416,279.671665,130,130
P16112,2415,250.19095,46,46
Q09472,2414,264.159725,66,66
Q8IVL1-9,2414,260.205445,109,109
Q9UGM3,2413,260.7332,75,40
P13611-2,2409,265.04822,78,78
Q8IVL1-8,2408,259.968315,108,108
Q8IWT3-3,2407,268.359,118,118
Q5T1R4,2406,259.462005,107,107
Q5T1R4-2,2405,259.33387,107,107
Q92793-2,2404,260.991825,71,71
Q9UGM3-3,2403,259.71113,75,40
Q8TDJ6-2,2400,270.145775,104,104
Q9UGM3-5,2393,258.41773,75,40
Q96Q15-4,2392,269.423075,117,117
Q5D862,2391,248.07329,69,66
O15020,2390,271.322455,126,126
O00763-2,2388,268.163755,120,120
Q9Y4D8-2,2386,262.200375,108,108
Q9BV73-2,2386,274.377765,137,137
P02751-11,2386,262.404835,97,97
P18583-7,2386,259.591635,76,69
P02751,2386,262.623095,99,99
Q8IVL0,2385,255.6455,111,111
Q13085-4,2383,269.99701,123,123
Q9H4A3,2382,250.791795,58,58
P16112-2,2377,246.30361,45,45
O43497,2377,262.46862,87,87
A5YKK6,2376,266.936515,122,122
P46100-3,2375,269.8091,109,109
A2RRP1,2371,268.56863,106,106
A5YKK6-2,2371,266.37881,121,121
Q6PRD1,2367,257.36114,115,115
O43497-20,2366,261.580765,87,87
Q8IVL1-4,2365,254.97572,106,106
O15020-2,2365,268.30625,126,126
Q9H2D6,2365,261.37289,108,103
Q01082,2364,274.606995,140,140
Q8IVL0-2,2363,253.0194,109,109
P12270,2363,267.29108,107,107
Q5VU43-4,2362,267.175145,126,126
Q15652-3,2358,263.154945,117,117
P02751-3,2355,259.21442,98,98
Q9HCK1,2354,265.615695,92,92
O43497-4,2354,260.025965,86,86
O95180,2353,259.1602,81,81
Q4AC94,2353,260.38632,110,110
O75179-6,2352,246.748395,76,76
P00451,2351,267.00742,122,122
A6NE01,2351,262.75646,92,92
P08922,2347,263.91288,96,96
O95180-2,2347,258.5426,80,80
Q5VU43,2346,265.077735,125,125
Q13085,2346,265.551725,121,121
P11532-2,2344,271.388645,127,127
O43497-33,2343,259.13811,86,86
Q8NG31,2342,265.389095,123,122
P11532-3,2341,271.03821,126,126
Q96RV3,2341,258.67312,96,96
Q00975,2339,262.49384,97,97
O75376-2,2337,258.59987,113,113
P46100-5,2337,265.45215,108,108
Q6P2Q9,2335,273.59837,126,126
Q9UQ35-2,2334,256.641725,94,94
Q3ZCN5,2332,262.088615,107,107
Q9UMZ3,2332,260.921595,107,107
O43497-12,2332,257.713375,87,87
P02751-17,2330,256.500375,97,97
Q96JI7-3,2330,266.640675,116,116
P11277-2,2328,267.824115,136,136
Q7Z7A1,2325,268.88353,124,124
P18583-4,2325,252.25111,70,63
Q6UVK1,2322,250.534685,81,81
Q9UM47,2321,243.62865,83,83
O43497-7,2321,256.82552,87,87
Q9NSI6,2320,262.933635,118,118
Q7Z7A1-5,2319,268.23874,124,124
Q13023,2319,256.71786,101,101
P16112-3,2316,239.232645,41,41
Q8NG31-2,2316,262.629795,122,121
P23471,2315,254.58505,78,78
O43497-16,2314,256.021635,86,86
Q15878,2313,261.72905,89,89
B2RTY4-5,2312,265.411655,124,124
Q8WXG9-3,2306,252.840875,85,85
O43497-10,2306,254.973385,84,84
P18583-3,2303,250.38589,71,64
O95996,2303,243.94556,119,119
Q9HCK8-2,2302,262.345495,103,103
O95996-3,2302,243.817425,119,119
Q9P212,2302,258.712335,110,110
Q8WYP5-2,2301,255.99801,109,109
Q02505-4,2299,238.81811,25,24
Q9Y3R5,2298,258.227235,111,111
Q02505-3,2298,238.479475,24,23
O43497-8,2298,254.382865,86,86
Q9Y3S1,2297,242.67376,80,80
P02751-8,2296,252.809475,97,97
Q12923-2,2294,255.923925,116,116
Q9Y3R5-2,2291,257.39143,111,111
O43497-21,2291,253.46472,86,86
Q8NFD5-3,2289,241.46188,68,68
P46100-2,2288,259.840685,106,106
Q13085-2,2288,259.684455,119,119
O43497-25,2287,252.82861,88,88
Q07864,2286,261.515525,108,108
O14497,2285,242.04343,72,72
O43497-11,2284,252.660795,86,86
P18583-10,2282,247.820115,70,63
Q02505-2,2281,236.29119,25,24
Q5VUA4,2279,251.1098,102,102
Q86UK0-2,2277,256.95743,93,93
O43497-17,2277,251.89285,86,86
Q8WYP5-3,2275,253.45814,107,107
O43497-6,2273,251.77294,86,86
P78363,2273,255.94147,95,95
P15924-2,2272,260.116655,123,123
O60287,2271,254.38638,109,109
Q15878-3,2270,257.114055,87,87
Q9NSI6-2,2269,257.23569,115,115
Q96RV3-3,2269,250.60315,94,94
Q13085-3,2268,257.236725,118,118
P02751-13,2267,249.32053,94,94
Q9H2D6-2,2267,250.72101,102,97
O43497-13,2266,250.969055,85,85
Q9Y2F5,2266,247.888495,106,106
Q8WYP5,2266,252.496045,107,107
P02751-14,2265,249.4008,96,96
A6NMZ7,2263,247.17153,113,113
O95477,2261,254.29989,105,105
O43497-9,2261,250.21814,85,85
O00555-3,2261,256.77472,89,89
O00555-2,2261,256.92991,89,89
O43497-15,2259,250.20111,85,85
Q13936-2,2257,252.50422,87,87
O43497-34,2257,249.39377,87,87
O15417-2,2256,239.495285,92,92
A6H8Y1-2,2254,252.839545,108,107
Q9Y3S1-4,2254,238.276755,77,77
Q9NTG1,2253,255.4468,100,100
H7BZ55,2252,248.390385,130,130
Q15878-2,2251,254.60121,86,86
Q13936-34,2251,252.08873,85,85
A2RRP1-2,2251,254.81355,99,99
O43497-2,2250,249.330285,85,85
O43497-24,2250,248.663885,87,87
Q8NFD5-2,2249,237.65989,69,69
O00555-5,2249,255.50932,88,88
O43497-35,2248,248.751215,86,86
Q9C0F0,2248,241.916395,96,96
Q9C0G0,2248,247.365525,103,103
O43497-36,2246,248.505915,87,87
Q68DE3,2245,241.67933,79,79
O75165,2243,254.41247,111,111
O43497-3,2243,248.5264,84,84
Q13439-5,2243,262.32666,136,136
Q3T8J9,2241,248.61836,97,97
P02751-9,2240,246.686755,95,95
Q5VU43-3,2240,254.043895,124,124
O00555-7,2240,254.340525,89,89
Q3T8J9-3,2240,248.547285,97,97
Q13936-10,2240,250.935115,84,84
